Number,lemma,Category,Level
342,pizza,(s.f.),A1
343,pizzeria,(s.f.),A1
344,poco,(po’)(agg. – avv.),A1
345,polizia,(s.f.),A1
346,pomeriggio,(s.m.),A1
347,pomodoro,(s.m.),A1
348,porta,(s.f.),A1
349,portare,(v.t.),A1
350,posta,(s.f.),A1
351,posto,(s.m.),A1
352,potere,(v.int.),A1
353,pranzare,(v.int),A1
354,pranzo,(s.m.),A1
355,prego,(inter.),A1
356,prendere,(v.t.),A1
357,prenotare,(v.t.),A1
358,presto,(avv.),A1
359,prezzo,(s.m.),A1
360,primavera,(s.f.),A1
361,professore/ssa,(s.m. – s.f.),A1
362,pulire,(v.t.),A1
363,qua,(avv.),A1
364,quaderno,(s.m.),A1
365,quadro,(s.m.),A1
366,quale,(pron.),A1
367,quando,(avv.),A1
368,quanto,(agg. – pron. – avv.),A1
369,quarto,(s.m.),A1
370,quasi,(avv.),A1
371,quello,(agg. – pron.),A1
372,questo,(agg. – pron.),A1
373,qui,(avv.),A1
374,radio,(s.f.),A1
375,ragazzo/a,(s.m. – s.f.),A1
376,ricco,(agg.),A1
377,ripetere,(v.t.),A1
378,riso,(s.m.),A1
379,rispondere,(v.int.),A1
380,risposta,(s.f.),A1
381,ristorante,(s.m.),A1
382,ritornare,(v.int.),A1
383,rosso,(agg.),A1
384,sabato,(s.m.),A1
385,sale,(s.m.),A1
386,salute,(inter.),A1
387,saluto,(s.m.),A1
388,sapere,(v.t.),A1
389,scarpa,(s.f.),A1
390,scrivere,(v.t.),A1
391,scuola,(s.f.),A1
392,scusare,(v.t.),A1
393,secondo,(s.m.),A1
394,sedia,(s.f.),A1
395,segreteria,(s.f.),A1
396,sempre,(avv.),A1
397,senza,(prep.- avv.),A1
398,sera,(s.f.),A1
399,sete,(s.f.),A1
400,settembre,(s.m.),A1
401,settimana,(s.f.),A1
402,si,(pron.),A1
403,sì,(avv.),A1
404,sigaretta,(s.f.),A1
405,significare,(v.t.),A1
406,signore/a,(s.m. – s.f.),A1
407,simpatico,(agg.),A1
408,singolo,(agg.),A1
409,sinistra,(s.f.),A1
410,soggiorno,(s.m.),A1
411,soldo,(s.m.),A1
412,sole,(s.m.),A1
413,sonno,(s.m.),A1
414,sopra,(avv.),A1
415,sorella,(s.f.),A1
416,sotto,(avv.),A1
417,spaghetto,(s.m.),A1
418,spedire,(v.t.),A1
419,spesa,(s.f.),A1
420,spesso,(avv.),A1
421,spiaggia,(s.f.),A1
422,sporco,(agg.),A1
423,sport,(s.m.),A1
424,sposare,(v.t.),A1
425,stanco,(agg.),A1
426,stare,(v.int.),A1
427,stazione,(s.f.),A1
428,stop,(s.m.),A1
429,strada,(s.f.),A1
430,straniero,(agg.),A1
431,stretto,(agg.),A1
432,studente/ssa,(s.m. – s.f.),A1
433,studiare,(v.t.),A1
434,su,(avv.),A1
435,suonare,(v.t.),A1
436,supermercato,(s.m.),A1
437,svegliarsi,(v.int. pron.),A1
438,tanto,(agg. – avv.),A1
439,tardi,(avv.),A1
440,tavolo,(s.m.),A1
441,taxi,(s.m.),A1
442,te,(pron.),A1
443,tè,(s.m.),A1
444,teatro,(s.m.),A1
445,telefonare,(v. int.),A1
446,telefono,(s.m.),A1
447,televisione,(s.f.),A1
448,ti,(pron.),A1
449,tornare,(v.int.),A1
450,treno,(s.m.),A1
451,triste,(agg.),A1
452,troppo,(agg. – avv.),A1
453,trovare,(v.t.),A1
454,tu,(pron.),A1
455,tuo,(agg.),A1
456,turista,(s.m. – s.f.),A1
457,tutto,(agg.),A1
458,tv,(s.f),A1
459,ufficio,(s.m.),A1
460,un/o/a,(art.),A1
461,università,(s.f.),A1
462,uomo,(s.m.),A1
463,uovo,(s.m.),A1
464,uscire,(v.int.),A1
465,vacanza,(s.f.),A1
466,valigia,(s.f.),A1
467,vecchio,(agg.),A1
468,vedersi,(v. rifl. recip.),A1
469,venerdì,(s.m.),A1
470,venire,(v.int.),A1
471,verde,(agg.),A1
472,verdura,(s.f.),A1
473,vero,(agg.),A1
474,vestito,(s.m.),A1
475,via,(s.f.),A1
476,viaggiare,(v.int.),A1
477,viaggio,(s.m.),A1
478,vicino,(avv.),A1
479,vino,(s.m.),A1
480,visitare,(v.t.),A1
481,visto,(s.m.),A1
482,vivere,(v.int.),A1
483,voi,(pron.),A1
484,volere,(v.int.),A1
485,zaino,(s.m.),A1
486,zucchero,(s.m.),A1
487,abbastanza,(avv.),A2
488,abbonamento,(s.m.),A2
489,abbracciare,(v.t.),A2
490,abbraccio,(s.m.),A2
491,accendere,(v.t.),A2
492,accendino,(s.m.),A2
493,accompagnare,(v.t.),A2
494,accordo,(s.m.),A2
495,acquistare,(v.t.),A2
496,addio,(inter.),A2
497,addormentarsi,(v. int. pron.),A2
498,adulto/a,(agg. - s.m. - s.f.),A2
499,affittare,(v.t.),A2
500,affitto,(s.m.),A2
501,aiutare,(v.t.),A2
502,alcuno,(agg.),A2
503,alimentari,(s.m. pl.),A2
504,allegro,(agg.),A2
505,allora,(avv.),A2
506,altro,(pron. – agg.),A2
507,alzarsi,(v.rifl.),A2
508,amaro,(agg.),A2
509,ancora,(avv.),A2
510,anello,(s.m.),A2
511,annoiarsi,(v.int.pron.),A2
512,anticipo,(s.m.),A2
513,antico,(agg.),A2
514,antipasto,(s.m.),A2
515,antipatico,(agg.),A2
516,anziano/a,(agg. - s.m. - s.f.),A2
